SATURACION (Sw),ARENA (ANP),POROSIDAD (F)
0.212,118.000,0.198
0.217,121.000,0.200
0.204,114.250,0.208
0.206,76.000,0.204
0.209,72.000,0.198
0.190,83.000,0.206
0.232,112.000,0.177
0.206,94.500,0.207
0.244,71.500,0.159
0.204,140.500,0.217
0.223,56.000,0.206
0.221,62.500,0.162
0.241,87.000,0.154
0.207,118.500,0.196
0.231,99.500,0.187
0.209,128.00,0.201
0.210,108.000,0.204
0.219,132.000,0.192
0.210,81.500,0.199
0.240,60.500,0.172
0.211,78.500,0.170
0.239,55.000,0.170
0.191,144.000,0.224
0.207,179.750,0.201
0.203,149.000,0.246
0.240,107.000,0.160
0.232,111.500,0.188
0.242,90.000,0.158
0.249,37.500,0.145
0.208,133.500,0.218
0.200,130.500,0.200
0.225,114.500,0.189
0.242,103.000,0.152
0.220,71.500,0.165
0.197,69.500,0.198
0.266,69.250,0.142
0.201,132.500,0.225
0.240,73.000,0.161
0.238,87.000,0.170
0.229,93.500,0.174
0.126,113.250,0.241
0.229,115.250,0.183
0.235,114.500,0.152
0.233,71.750,0.168
0.222,93.125,0.187
0.230,77.000,0.178
0.220,109.875,0.190
