POROSIDAD,ARENA
0.237,130.293
0.2266,37
0.2179,41.037
0.224,52.5
0.2319,86.092
0.24,43.223
0.2413,56.5
0.2436,24.035
0.2331,35.963
0.2376,35.864
0.2321,75.894
0.2191,30
0.2315,80.475
0.2326,55.102
0.21,27.59
0.2298,44.767
0.2372,80.25
0.2074,65
0.2268,88.03
0.2299,73.532
0.2125,125.022
0.2192,81
0.1957,28
0.2243,74.38
0.2076,14.75
0.2315,91
0.2256,95.483
0.2355,86.985
0.2321,126
0.2379,37.032
0.1965,14.429
0.2164,61.801
0.2341,47.524
0.2347,36.88
0.2091,53.977
0.2346,64
0.2205,50.96
0.2143,58.428
0.1839,46.991
0.2267,79.794
0.2292,58.9
0.1973,40.25
0.1985,63.965
0.1823,88
0.2017,87.25
0.2172,64.059
0.2198,33.958
0.1762,44.233
0.2305,43.085
0.1875,23.25
0.2119,5
0.2031,30.524
0.2072,42.876
0.2103,58.285
0.2218,52.004
0.224,52.263
0.2186,47.969
0.2298,55.182
0.2214,135.883
0.2399,5
0.2402,56.5
0.1949,35.637
0.2185,28.739
0.2296,67.058
0.2198,59.605
0.2202,83.188
0.2223,75.613
0.2159,52.5
0.2005,49.324
0.2238,54.654
0.2278,57.2
0.1917,31.741
0.2405,58
0.2339,51.564
0.2106,47.85
0.2102,48.48
0.2173,48.916
0.225,54.773
0.2228,38.146
0.231,85.857
0.2204,45.373
0.2319,53.202
0.2194,69.008
0.2234,42.813
0.2066,92
0.2254,63.333
0.2313,33
0.236,28.007
0.2155,61.5
0.1838,22.25
0.1649,38
0.2398,80.622
0.2407,79.489
0.2422,68.334
0.2392,56.638
0.2242,41.317
0.2331,49.32
0.2306,49.5
0.2122,31.152
